,R5.97,R7,R7.92,R8.00,R10.98,R10.91,R10.87,R11,R11.95,R13.95B,R19.88,R17,R17.88,R18,R18.99,R31,R31.96,R22.99,R22.92,R22.89,R23,R23.93,R24,R25.96,R26,R26.00,R27.99,R27.97,R28.99,R28.9000,R29,M17,M17.95,M17.90,M17.86,M18,M18.99a,M18.95,M19.99,M19.95,M20.95,R33,R38.01,M1.8800,M2,M2.96,M4,M5,M6,M6.99,M8.98,M8.91,M8.9102,M8.88,M8.8800,M9,M9.96,M10,M11.91,M12,M13.02,M14,M14.93,M23.91,M24.04,M24.90,M25,M25.00,M26,M27.91,M28.97,M28.94,M30,M30.97,M31,M33,M33.95,M34.92,M35,M35.91,M41,M45.97,M45.93,M46,M47,M48,M48.97,M48.93,M52.92,M53.95B,M54.00,M56,M56.91,M56.9101,M56.87,M57.95,M58.91,M61,M62.95,M62.91,M63,M63.01,M63.94,M64.99,M64.95,M65.93,M67.90,M68,M68.00,M69,M69.93,M71.00,M72,M73.90,M77,M78,S91.97,S91.93,S92,S92.94
R5.97,0,0.298245614,0.25,1,1,1,1,1,1,1,0.993150685,0.95890411,0.949367089,0.980392157,0.975,0.971428571,0.97080292,0.986486486,1,0.981132075,0.981818182,0.987012987,0.982248521,0.981927711,0.981927711,1,0.987804878,0.987654321,0.987341772,0.926470588,0.987654321,1,0.988095238,1,0.98630137,1,1,1,0.99,0.98989899,0.988764045,1,1,0.980769231,1,0.967741935,0.967948718,0.96835443,0.977272727,0.96969697,0.980392157,0.989795918,0.961538462,0.975409836,0.981651376,0.981012658,0.98,0.967741935,1,1,1,0.986842105,1,0.990740741,1,0.993197279,0.993670886,0.993421053,1,0.992307692,0.99270073,0.992907801,0.991452991,0.99047619,0.98540146,1,1,1,1,1,1,0.96875,0.986111111,0.986486486,0.986394558,0.983471074,0.983333333,0.983471074,0.935897436,0.943396226,0.961538462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.987421384,0.934210526,0.935897436,0.928571429,1,1,1,0.991803279,1,0.980952381,0.952380952,1,0.97979798,0.980582524,0.97752809
R7,0.298245614,0,0.092592593,1,1,1,1,1,1,1,0.979865772,0.946666667,0.952380952,0.971698113,0.964285714,0.965277778,0.964539007,0.973509934,0.984848485,0.969135802,0.970238095,0.974522293,0.970930233,0.964285714,0.964285714,0.983333333,0.976047904,0.975757576,0.97515528,0.929577465,0.975757576,1,0.988764045,1,0.986666667,1,1,1,0.99047619,0.990384615,0.989361702,1,1,0.981651376,1,0.96875,0.968944099,0.969325153,0.97810219,0.972972973,0.981308411,0.990291262,0.966666667,0.976377953,0.98245614,0.981595092,0.980645161,0.96875,1,0.987951807,0.964285714,0.975,0.987951807,0.990909091,1,0.986754967,0.987654321,0.987179487,0.984615385,0.992592593,0.992957746,0.993150685,0.991803279,0.990909091,0.978723404,1,1,1,1,1,1,0.909090909,0.972789116,0.973509934,0.98013245,0.976,0.975806452,0.976,0.913580247,0.926605505,0.965517241,1,1,1,1,1,1,1,1,1,0.981481481,0.976190476,0.986928105,1,0.993630573,0.968944099,0.951219512,0.926829268,0.935483871,0.992,1,0.990909091,0.984126984,1,0.972477064,0.913043478,1,0.980769231,0.981481481,0.978723404
R7.92,0.25,0.092592593,0,1,1,1,1,1,1,1,0.98,0.947368421,0.952941176,0.971962617,0.964705882,0.965517241,0.964788732,0.973684211,0.984962406,0.969325153,0.970414201,0.974683544,0.971098266,0.964497041,0.964497041,0.983333333,0.976190476,0.975903614,0.975308642,0.930555556,0.975903614,1,0.988888889,1,0.986842105,1,1,1,0.990566038,0.99047619,0.989473684,1,1,0.981818182,1,0.968944099,0.969135802,0.969512195,0.97826087,0.972972973,0.981481481,0.990384615,0.966666667,0.9765625,0.982608696,0.981707317,0.980769231,0.968944099,1,0.988095238,0.964285714,0.975308642,0.988095238,0.990990991,1,0.986842105,0.987730061,0.987261146,0.984848485,0.992647059,0.993006993,0.993197279,0.991869919,0.990990991,0.978873239,1,1,1,1,1,1,0.909090909,0.972972973,0.973684211,0.980263158,0.976190476,0.976,0.976190476,0.914634146,0.927272727,0.965517241,1,1,1,1,1,1,1,1,1,0.981595092,0.976190476,0.987012987,1,0.993670886,0.969135802,0.951807229,0.927710843,0.935483871,0.992063492,1,0.990990991,0.984251969,1,0.972727273,0.913043478,1,0.980952381,0.981651376,0.978947368
R8.00,1,1,1,0,1,1,1,1,1,1,0.98245614,0.888888889,0.896551724,0.916666667,0.911764706,0.148148148,0.185185185,0.965517241,0.978723404,0.950819672,0.949152542,0.964285714,0.968253968,0.954545455,0.955223881,0.952380952,0.95,0.95,0.948275862,0.75,0.949152542,1,1,1,1,1,1,1,1,1,1,1,1,0.971428571,NA,0.981481481,0.981481481,0.981481481,0.977777778,0.976190476,0.971428571,0.972222222,0.971428571,0.978723404,0.973684211,0.981481481,0.980769231,0.981481481,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,0.97826087,0.977272727,1,1,1,1,1,1,1,1,0.98245614,0.98245614,0.98245614,0.959183673,0.96,0.98,0.965517241,0.92,0.944444444,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,0.96875,0.973684211,0.95,0.947368421,1,NA,0.976190476,0.97826087,NA,0.951219512,0.96969697,0.971428571,0.976190476,0.975,0.974358974
R10.98,1,1,1,1,0,0.28125,0.272727273,0.375,0.35483871,0.979166667,1,1,1,1,1,0.991803279,0.991596639,0.9921875,0.990654206,0.992857143,0.986206897,0.984962406,0.986577181,0.993197279,1,1,0.993055556,0.992957746,0.992753623,1,0.992957746,0.955223881,0.967741935,0.928571429,1,0.976744186,0.857142857,0.926829268,0.918918919,0.932432432,0.921875,0.979166667,1,1,0.985074627,1,1,1,0.991150442,1,1,1,1,1,1,1,1,1,0.941176471,0.945454545,0.9375,0.943396226,0.945454545,0.978494624,1,0.984,0.977777778,0.984615385,0.967213115,0.981481481,0.982608696,0.983193277,1,1,0.991452991,0.9875,0.986842105,0.984615385,0.987951807,0.983870968,0.971428571,1,1,1,1,0.98,0.97979798,0.98,1,1,1,0.904761905,0.919354839,0.823529412,0.901639344,0.901639344,0.970588235,0.970588235,0.979166667,0.979591837,0.98540146,1,0.984251969,1,0.984615385,1,1,1,1,1,1,0.988095238,0.99009901,1,0.988235294,0.952380952,0.985507246,0.987341772,0.987951807,1
R10.91,1,1,1,1,0.28125,0,0.121212121,0.1,0.25,0.981132075,1,1,1,1,1,0.992125984,0.991935484,0.992481203,0.991071429,0.993103448,0.986666667,0.985507246,0.987012987,0.986754967,0.993421053,0.98,0.993288591,0.993197279,0.993006993,1,0.993197279,0.943661972,0.954545455,0.913043478,1,0.957446809,0.875,0.934782609,0.91025641,0.923076923,0.911764706,0.96,1,1,0.985714286,1,1,1,1,1,1,1,1,1,1,1,1,1,0.927272727,0.93220339,0.944444444,0.929824561,0.93220339,0.989690722,1,0.992366412,0.985815603,0.992647059,0.952380952,0.99122807,0.991735537,0.992,1,1,0.991803279,0.988235294,0.987654321,0.985714286,0.988636364,0.985074627,0.948717949,1,1,1,1,0.971153846,0.980769231,0.971153846,1,1,1,0.895522388,0.909090909,0.842105263,0.892307692,0.892307692,0.947368421,0.947368421,0.981132075,0.981481481,0.985915493,1,0.984848485,1,0.97761194,1,1,0.984848485,1,1,1,0.988764045,0.990566038,1,0.988888889,0.952380952,0.97260274,0.975903614,0.977011494,0.986486486
R10.87,1,1,1,1,0.272727273,0.121212121,0,0.212121212,0.242424242,0.981818182,1,1,1,1,1,0.992248062,0.992063492,0.992592593,0.99122807,0.993197279,0.986842105,0.985714286,0.987179487,0.986928105,0.993506494,0.979591837,1,1,1,1,1,0.945205479,0.955882353,0.916666667,1,0.96,0.866666667,0.9375,0.9125,0.925,0.914285714,0.962264151,1,1,0.98630137,1,1,1,0.991666667,1,1,1,1,1,1,1,1,1,0.929824561,0.93442623,0.941176471,0.93220339,0.93442623,0.97979798,1,0.984848485,0.978873239,0.98540146,0.954545455,0.982608696,0.983606557,0.984126984,1,1,0.991935484,0.988505747,0.987951807,0.986111111,0.988888889,0.985507246,0.951219512,1,1,1,1,0.971698113,0.981132075,0.971698113,1,1,1,0.914285714,0.927536232,0.894736842,0.911764706,0.911764706,0.95,0.95,0.981818182,0.982142857,0.986111111,1,0.985074627,1,0.977941176,1,1,0.985294118,1,1,1,0.989010989,0.990740741,1,0.989130435,0.95,0.973333333,0.976470588,0.97752809,0.986842105
R11,1,1,1,1,0.375,0.1,0.212121212,0,0.34375,1,1,1,1,1,1,1,1,0.992307692,1,1,0.993243243,0.992647059,0.993421053,0.986486486,0.993288591,0.979591837,0.993150685,0.993055556,0.992857143,1,0.993055556,0.956521739,0.96875,0.931818182,1,0.955555556,0.9375,0.954545455,0.921052632,0.934210526,0.924242424,0.958333333,1,1,0.985294118,1,1,1,1,1,1,1,1,1,1,1,1,1,0.962962963,0.965517241,1,0.964285714,0.965517241,0.989473684,1,1,0.992805755,1,0.967741935,0.990990991,0.991525424,0.991803279,1,1,1,0.987804878,0.987179487,0.985074627,0.988235294,0.984375,0.972972973,1,1,1,1,0.980392157,0.990196078,0.980392157,1,1,1,0.924242424,0.938461538,0.894736842,0.921875,0.921875,0.942857143,0.942857143,0.98,0.980392157,0.992857143,1,0.992307692,1,0.984848485,1,1,0.984126984,1,1,1,1,1,1,0.988505747,0.95,0.985915493,0.987654321,0.988235294,0.985915493
R11.95,1,1,1,1,0.35483871,0.25,0.242424242,0.34375,0,0.979591837,1,1,1,1,1,0.991869919,0.991666667,1,0.990740741,0.992907801,0.993197279,0.992592593,0.993377483,0.993243243,0.993243243,0.979166667,0.993103448,0.993006993,0.992805755,1,0.993006993,0.940298507,0.951612903,0.904761905,1,0.953488372,0.857142857,0.928571429,0.934210526,0.947368421,0.939393939,0.958333333,1,1,0.985294118,1,1,1,0.99122807,1,1,1,1,1,1,1,1,1,0.921568627,0.927272727,0.9375,0.924528302,0.927272727,0.978723404,1,0.984126984,0.977941176,0.984732824,0.950819672,0.981651376,0.982758621,0.983333333,1,1,0.991525424,1,1,1,1,1,0.942857143,1,1,1,1,0.98019802,0.98,0.98019802,1,1,1,0.90625,0.920634921,0.823529412,0.903225806,0.903225806,0.971428571,0.971428571,1,1,0.985507246,1,0.984375,1,0.976923077,1,1,0.983870968,1,1,1,0.988235294,0.990196078,1,1,1,0.971014493,0.974683544,0.975903614,0.985714286
R13.95B,1,1,1,1,0.979166667,0.981132075,0.981818182,1,0.979591837,0,0.922413793,1,1,0.962025316,0.964912281,0.991735537,0.991525424,0.976,0.971153846,0.970588235,0.986111111,0.984848485,0.97260274,0.986206897,0.986206897,1,0.978723404,0.978417266,0.977777778,0.959183673,0.978417266,0.954545455,0.93220339,0.952380952,0.941176471,1,0.95,0.976190476,0.946666667,0.945945946,0.96969697,0.928571429,0.921052632,1,0.984126984,0.99270073,0.992753623,0.992857143,0.991071429,1,0.987654321,0.986842105,1,1,0.988636364,1,1,0.99270073,0.795454545,0.836734694,0.533333333,0.804347826,0.836734694,0.965909091,0.971428571,0.958677686,0.962121212,0.968503937,0.946428571,0.961904762,0.964285714,0.965517241,0.909090909,0.909090909,0.926605505,0.974358974,1,0.968253968,0.9625,0.949152542,0.939393939,0.966666667,0.92173913,0.924369748,0.932773109,0.947916667,0.936170213,0.936842105,0.966101695,0.977272727,0.916666667,0.96969697,0.96875,0.958333333,0.96875,0.96875,1,1,1,1,0.977777778,0.941176471,0.976,1,0.9765625,1,1,1,1,0.923913043,0.888888889,0.936708861,0.925531915,0.827586207,0.975903614,0.95,0.938461538,0.917808219,0.922077922,0.921875
R19.88,0.993150685,0.979865772,0.98,0.98245614,1,1,1,1,1,0.922413793,0,0.962962963,0.970149254,0.947019868,0.953488372,0.912568306,0.923076923,0.926701571,0.923976608,0.925742574,0.912195122,0.923469388,0.908653846,0.958139535,0.958139535,0.96,0.96728972,0.966981132,0.971291866,0.971698113,0.966981132,0.971830986,0.97810219,0.983193277,0.971698113,0.98,1,1,0.973684211,0.973509934,0.986013986,0.96875,0.859649123,0.987421384,0.964705882,0.971291866,0.976303318,0.971698113,0.972972973,0.981481481,0.980769231,0.986842105,0.978723404,0.971428571,0.975308642,0.985915493,0.985365854,0.971291866,0.943089431,0.94488189,0.904761905,0.935483871,0.936507937,0.917910448,0.928571429,0.914438503,0.908163265,0.910994764,0.907894737,0.95505618,0.951086957,0.946524064,0.69924812,0.732283465,0.723684211,0.980519481,0.993421053,0.985714286,0.974358974,0.98540146,0.990990991,0.172413793,0.121495327,0.169642857,0.178571429,0.921212121,0.920731707,0.927710843,0.938461538,0.929487179,0.977777778,0.971631206,0.971223022,0.979166667,0.978571429,0.971223022,1,1,0.991935484,0.992,0.903061224,0.865384615,0.932291667,0.980392157,0.916666667,0.966507177,0.985074627,0.985294118,1,0.893081761,0.903225806,0.897260274,0.866242038,0.567567568,0.941176471,0.923076923,0.893939394,0.869565217,0.865248227,0.876923077
R17,0.95890411,0.946666667,0.947368421,0.888888889,1,1,1,1,1,1,0.962962963,0,0.117647059,0.644067797,0.659574468,0.892156863,0.911764706,0.935779817,0.933333333,0.949152542,0.943548387,0.965217391,0.944444444,0.966101695,0.974576271,1,0.956896552,0.964912281,0.964285714,0.826923077,0.956521739,1,1,1,1,1,1,1,1,1,1,1,0.888888889,0.976744186,1,0.991869919,0.992,0.992125984,0.980582524,1,0.987804878,0.987341772,0.909090909,0.966666667,0.988505747,0.983739837,0.991452991,0.991935484,0.965517241,0.967213115,0.909090909,0.966101695,0.967213115,0.970588235,1,0.963963964,0.957627119,0.96460177,0.983870968,0.968085106,0.970588235,0.971962617,0.989247312,0.987804878,0.972222222,0.987804878,0.987179487,0.985074627,0.988235294,0.985294118,1,1,0.962264151,0.964285714,0.963636364,0.989361702,0.989247312,0.989361702,0.868852459,0.865671642,1,0.985714286,0.985507246,1,0.985294118,1,1,0.975609756,1,1,0.959016393,1,0.973684211,1,0.957264957,0.963963964,0.962264151,0.963636364,1,0.989010989,1,0.987179487,0.967032967,0.971428571,0.949367089,1,0.969230769,1,0.974358974,0.985294118
R17.88,0.949367089,0.952380952,0.952941176,0.896551724,1,1,1,1,1,1,0.970149254,0.117647059,0,0.716216216,0.689655172,0.893442623,0.918032787,0.939849624,0.947368421,0.952054795,0.947019868,0.972027972,0.955128205,0.967741935,0.974358974,0.980392157,0.960264901,0.966666667,0.965753425,0.826923077,0.959731544,1,1,1,1,1,1,1,1,1,1,1,0.973684211,0.978947368,1,0.993333333,0.993377483,0.993464052,0.983870968,1,0.989361702,0.988764045,0.952380952,0.973451327,0.99009901,0.979865772,0.985915493,0.993333333,0.96875,0.970588235,0.947368421,0.96969697,0.970588235,0.97029703,1,0.97037037,0.965517241,0.971428571,0.983870968,0.974789916,0.976190476,0.976923077,0.990740741,0.989583333,0.976377953,0.989130435,0.988636364,0.987012987,0.989473684,0.986486486,1,1,0.969924812,0.97080292,0.970588235,0.982142857,0.981981982,0.982142857,0.878787879,0.880434783,0.80952381,0.9875,0.987179487,1,0.987179487,1,1,0.97826087,1,1,0.965753425,1,0.97826087,1,0.964028777,0.965986395,0.941176471,0.942857143,0.916666667,0.990990991,1,0.989583333,0.972972973,0.971428571,0.946236559,0.954545455,0.975,1,0.978723404,0.987654321
R18,0.980392157,0.971698113,0.971962617,0.916666667,1,1,1,1,1,0.962025316,0.947019868,0.644067797,0.716216216,0,0.406779661,0.818181818,0.832061069,0.95483871,0.939849624,0.958083832,0.959537572,0.962962963,0.954545455,0.947674419,0.953757225,0.982758621,0.934131737,0.926829268,0.938271605,0.737704918,0.926829268,1,0.989583333,1,0.987341772,1,1,1,0.981981982,0.990990991,0.99009901,0.985915493,0.904761905,0.946428571,0.987012987,0.976190476,0.976331361,0.976608187,0.964788732,1,0.945454545,0.972222222,0.925925926,0.921259843,0.957627119,0.970238095,0.96875,0.976190476,0.976470588,0.97752809,0.961538462,0.977011494,0.97752809,0.973913043,1,0.974358974,0.963636364,0.96875,0.971830986,0.971223022,0.979591837,0.98013245,0.96,0.964912281,0.929078014,0.982142857,0.990825688,0.989795918,0.982608696,0.978723404,0.970149254,0.973684211,0.946666667,0.948051948,0.954545455,0.961538462,0.96124031,0.961538462,0.75,0.772277228,0.45,0.98,0.979591837,0.965517241,0.979591837,0.979591837,0.985074627,0.985074627,1,1,0.951219512,0.925,0.961538462,1,0.949044586,0.957831325,0.95505618,0.944444444,0.935483871,0.976923077,0.965517241,0.964912281,0.928571429,0.977272727,0.946902655,0.964285714,0.948979592,0.943925234,0.936363636,0.948979592
R18.99,0.975,0.964285714,0.964705882,0.911764706,1,1,1,1,1,0.964912281,0.953488372,0.659574468,0.689655172,0.406779661,0,0.862068966,0.868421053,0.97037037,0.955357143,0.965986395,0.973509934,0.971223022,0.967741935,0.967532468,0.967105263,0.982142857,0.944444444,0.936170213,0.942028986,0.836734694,0.936170213,1,1,1,1,1,1,1,0.976744186,0.988372093,0.986842105,1,0.9,0.967032967,1,0.993197279,0.993150685,0.993288591,0.983471074,1,0.965517241,0.976744186,0.92,0.962616822,0.967741935,0.979166667,0.97810219,0.993055556,0.983870968,0.984615385,0.958333333,0.984615385,0.984615385,0.978723404,1,0.97761194,0.971830986,0.97826087,0.982142857,0.975,0.984496124,0.984848485,0.960784314,0.956989247,0.950819672,1,1,1,1,1,0.979591837,0.972222222,0.953125,0.954545455,0.962121212,0.963963964,0.963636364,0.963963964,0.810344828,0.847058824,0.55,0.975,0.974358974,0.962962963,0.974683544,0.974683544,0.979166667,0.979166667,1,1,0.957446809,0.921052632,0.954545455,1,0.955223881,0.97972973,0.971830986,0.958333333,0.931034483,0.972222222,0.947368421,0.979381443,0.944444444,0.967741935,0.957446809,0.961538462,0.975609756,0.955555556,0.946236559,0.936708861
R31,0.971428571,0.965277778,0.965517241,0.148148148,0.991803279,0.992125984,0.992248062,1,0.991869919,0.991735537,0.912568306,0.892156863,0.893442623,0.818181818,0.862068966,0,0.030612245,0.919786096,0.903030303,0.913705584,0.905472637,0.933333333,0.901960784,0.927184466,0.93236715,0.939393939,0.951923077,0.946341463,0.95049505,0.888888889,0.946341463,0.985815603,0.985185185,0.991452991,0.981818182,0.990196078,1,1,0.98,0.986666667,0.978417266,0.97979798,0.963636364,0.953642384,0.989795918,0.965853659,0.966019417,0.966346154,0.966850829,0.97826087,0.96,0.97972973,0.947368421,0.958823529,0.96835443,0.966019417,0.969849246,0.965853659,0.984,0.984496124,1,0.984251969,0.984496124,0.95,1,0.958333333,0.955445545,0.948717949,0.931818182,0.971910112,0.972972973,0.968085106,0.9375,0.960526316,0.932960894,0.986842105,1,0.98540146,0.987096774,0.992592593,1,0.97826087,0.912087912,0.919786096,0.919354839,0.939393939,0.93902439,0.945783133,0.865546218,0.845070423,0.921052632,0.978417266,0.97810219,0.975,0.97810219,0.97810219,0.990654206,0.990654206,0.991735537,0.991803279,0.94,0.941176471,0.953367876,0.966101695,0.948717949,0.945544554,0.984732824,0.969465649,0.952380952,0.957831325,0.894736842,0.946666667,0.919753086,0.931034483,0.925675676,0.942857143,0.948529412,0.9375,0.939189189,0.948529412
R31.96,0.97080292,0.964539007,0.964788732,0.185185185,0.991596639,0.991935484,0.992063492,1,0.991666667,0.991525424,0.923076923,0.911764706,0.918032787,0.832061069,0.868421053,0.030612245,0,0.935828877,0.914634146,0.923469388,0.92039801,0.943298969,0.911330049,0.936585366,0.941747573,0.954545455,0.961352657,0.955882353,0.960199005,0.886597938,0.955882353,0.985507246,0.984848485,0.99122807,0.981481481,0.99,1,1,0.979591837,0.986394558,0.977941176,0.979381443,0.962962963,0.959731544,0.989690722,0.97044335,0.970588235,0.970873786,0.972067039,0.977777778,0.959183673,0.979310345,0.945945946,0.964285714,0.967741935,0.970588235,0.974619289,0.97044335,0.991869919,0.992125984,1,0.992,0.992125984,0.949275362,1,0.957671958,0.954773869,0.947916667,0.931034483,0.971428571,0.972527473,0.967567568,0.943037975,0.966666667,0.937853107,0.986577181,1,0.985074627,0.986842105,0.992424242,1,0.977777778,0.922651934,0.930107527,0.92972973,0.944785276,0.944444444,0.951219512,0.881355932,0.858156028,0.918918919,0.977941176,0.97761194,0.974358974,0.97761194,0.97761194,0.990384615,0.990384615,0.991525424,0.991596639,0.944444444,0.94,0.952631579,0.965517241,0.953367876,0.955223881,0.984375,0.96875,0.951219512,0.957055215,0.891891892,0.952702703,0.925,0.929824561,0.93877551,0.971428571,0.955223881,0.936170213,0.945205479,0.947368421
R22.99,0.986486486,0.973509934,0.973684211,0.965517241,0.9921875,0.992481203,0.992592593,0.992307692,1,0.976,0.926701571,0.935779817,0.939849624,0.95483871,0.97037037,0.919786096,0.935828877,0,0.644927536,0.320610687,0.27480916,0.353846154,0.308823529,0.96347032,0.96347032,0.974358974,0.943396226,0.947867299,0.941747573,0.981981982,0.942857143,0.993243243,0.985815603,1,0.981818182,1,1,1,0.974193548,0.980645161,0.979310345,0.989795918,0.919354839,0.968553459,0.952380952,0.941747573,0.936893204,0.9375,0.956756757,0.982142857,0.961538462,0.967105263,0.979591837,0.966101695,0.963190184,0.947115385,0.955445545,0.936585366,0.952755906,0.954198473,0.933333333,0.953488372,0.962121212,0.925925926,0.912280702,0.927083333,0.909547739,0.912371134,0.907894737,0.938202247,0.946236559,0.924731183,0.926829268,0.948717949,0.893258427,0.974358974,0.980392157,0.978873239,0.974842767,0.978417266,1,0.895833333,0.920634921,0.927835052,0.92746114,0.953757225,0.953488372,0.953757225,0.931818182,0.93081761,0.979166667,0.979310345,0.979020979,0.959183673,0.986111111,0.986111111,0.991150442,0.982142857,1,1,0.941747573,0.949152542,0.96,0.962264151,0.945,0.966981132,0.977941176,0.97826087,0.96,0.953216374,0.967741935,0.941935484,0.922619048,0.94,0.914473684,0.925,0.935714286,0.94,0.934640523,0.935714286
R22.92,1,0.984848485,0.984962406,0.978723404,0.990654206,0.991071429,0.99122807,1,0.990740741,0.971153846,0.923976608,0.933333333,0.947368421,0.939849624,0.955357143,0.903030303,0.914634146,0.644927536,0,0.707792208,0.685897436,0.713333333,0.67721519,0.95959596,0.95959596,0.953846154,0.953608247,0.958549223,0.95212766,0.989130435,0.958549223,0.984126984,0.983333333,0.990196078,0.978494624,0.988235294,1,1,0.962406015,0.969924812,0.967479675,0.977011494,0.942307692,0.978571429,0.977272727,0.984536082,0.979381443,0.979591837,0.988235294,1,0.992857143,0.992592593,1,0.981132075,0.98630137,0.984615385,0.989361702,0.979274611,0.943396226,0.945454545,0.941176471,0.944444444,0.954954955,0.92,1,0.924418605,0.917127072,0.908045977,0.896103896,0.969325153,0.964497041,0.959302326,0.923611111,0.95620438,0.906832298,0.954887218,0.977272727,0.957983193,0.955882353,0.965811966,0.989247312,0.934782609,0.923529412,0.931428571,0.937142857,0.961038961,0.960784314,0.961038961,0.928571429,0.920289855,0.974358974,0.967479675,0.966942149,0.973684211,0.966942149,0.966942149,0.989130435,0.989130435,0.990566038,0.990654206,0.940860215,0.9375,0.955307263,0.963636364,0.944444444,0.963350785,0.982758621,0.983050847,0.975,0.980645161,0.96969697,0.932835821,0.918918919,0.918367347,0.917293233,0.945945946,0.933333333,0.938461538,0.940298507,0.950819672
R22.89,0.981132075,0.969135802,0.969325153,0.950819672,0.992857143,0.993103448,0.993197279,1,0.992907801,0.970588235,0.925742574,0.949152542,0.952054795,0.958083832,0.965986395,0.913705584,0.923469388,0.320610687,0.707792208,0,0.183206107,0.248062016,0.220588235,0.947136564,0.947136564,0.95,0.927272727,0.936363636,0.930232558,0.974576271,0.936363636,0.987421384,0.980263158,0.992592593,0.974137931,0.991150442,1,1,0.969879518,0.975903614,0.974358974,0.980769231,0.924242424,0.970760234,0.97752809,0.940092166,0.940366972,0.940909091,0.959390863,0.983333333,0.970414201,0.981927711,0.981132075,0.979057592,0.971590909,0.954751131,0.957943925,0.940092166,0.964285714,0.965277778,0.93877551,0.957446809,0.965277778,0.929577465,0.935483871,0.931372549,0.929906542,0.922705314,0.925,0.936507937,0.93877551,0.923857868,0.925714286,0.939759036,0.9,0.97005988,0.987951807,0.973856209,0.970588235,0.98013245,0.992063492,0.884615385,0.92,0.932038835,0.931707317,0.921787709,0.921348315,0.921787709,0.952054795,0.941860465,0.961538462,0.961038961,0.960526316,0.962264151,0.967320261,0.967320261,0.992,0.983870968,0.992805755,0.992857143,0.940092166,0.936507937,0.947368421,0.982142857,0.943127962,0.95,0.972789116,0.973154362,0.944444444,0.956284153,0.970588235,0.958579882,0.93956044,0.942307692,0.907407407,0.909090909,0.940789474,0.93125,0.932926829,0.933774834
R23,0.981818182,0.970238095,0.970414201,0.949152542,0.986206897,0.986666667,0.986842105,0.993243243,0.993197279,0.986111111,0.912195122,0.943548387,0.947019868,0.959537572,0.973509934,0.905472637,0.92039801,0.27480916,0.685897436,0.183206107,0,0.201550388,0.135338346,0.943965517,0.943965517,0.948717949,0.933920705,0.942731278,0.936936937,0.976,0.942731278,0.987878788,0.981012658,0.992907801,0.975806452,0.991666667,1,1,0.970930233,0.976744186,0.975308642,0.982142857,0.938461538,0.96,0.947368421,0.936936937,0.932432432,0.933035714,0.965686275,0.982758621,0.959537572,0.970588235,0.980392157,0.963917526,0.961111111,0.946666667,0.9543379,0.932126697,0.951388889,0.952702703,0.958333333,0.952054795,0.952702703,0.904109589,0.933333333,0.907317073,0.896713615,0.899038462,0.869047619,0.932989691,0.940594059,0.915422886,0.928176796,0.947976879,0.891752577,0.965116279,0.98245614,0.96835443,0.965714286,0.974358974,1,0.901960784,0.906403941,0.918660287,0.913043478,0.935828877,0.935483871,0.935828877,0.932885906,0.931818182,0.980392157,0.968944099,0.968553459,0.960784314,0.975,0.975,0.992366412,0.984615385,0.993103448,0.993150685,0.936936937,0.951612903,0.953703704,0.968253968,0.939814815,0.946666667,0.973856209,0.974193548,0.942307692,0.95212766,0.975609756,0.941860465,0.935828877,0.915254237,0.929824561,0.930232558,0.922580645,0.927272727,0.922619048,0.936305732
R23.93,0.987012987,0.974522293,0.974683544,0.964285714,0.984962406,0.985507246,0.985714286,0.992647059,0.992592593,0.984848485,0.923469388,0.965217391,0.972027972,0.962962963,0.971223022,0.933333333,0.943298969,0.353846154,0.713333333,0.248062016,0.201550388,0,0.198473282,0.945701357,0.945701357,0.96,0.930232558,0.934579439,0.933333333,0.991304348,0.939534884,0.993506494,0.986394558,1,0.982608696,1,1,1,0.97515528,0.975,0.986842105,0.990384615,0.968253968,0.957055215,0.943181818,0.928229665,0.923444976,0.924170616,0.968911917,0.981481481,0.956521739,0.96835443,0.978723404,0.961538462,0.958333333,0.943661972,0.946601942,0.923076923,0.954887218,0.95620438,0.977777778,0.955555556,0.95620438,0.936619718,0.947368421,0.923857868,0.917475728,0.925742574,0.9,0.945945946,0.958762887,0.93814433,0.916666667,0.944099379,0.884615385,0.975308642,0.9875,0.97972973,0.975757576,0.979310345,0.991666667,0.897959184,0.917525773,0.919191919,0.929648241,0.943502825,0.943181818,0.943502825,0.942446043,0.952380952,0.957446809,0.986842105,0.986666667,1,0.986666667,0.986666667,1,1,1,1,0.958139535,0.966666667,0.966183575,0.965517241,0.961722488,0.948598131,0.971631206,0.972027972,0.93877551,0.95480226,0.972222222,0.944099379,0.925287356,0.945454545,0.937888199,0.926829268,0.923611111,0.928571429,0.923566879,0.931034483
