"Dolphin.ID","T2008","T2010","T2012","T2014","T2016","T2018","Birth.Date","Weaning.Date","Last.Sighting.Date","Death.Date","Sex"
"ID0106",6,NA,NA,NA,NA,NA,"1973-11-01","","2009-11-07","2012-05-01","FEMALE"
"ID0107",27,35,28,43,24,22,"1988-12-31","1992-07-10","2019-12-04","","MALE"
"ID0108",9,6,12,11,12,25,"1991-11-01","1996-02-02","2019-12-07","","FEMALE"
"ID0109",NA,NA,NA,17,22,26,"2010-11-17","2014-09-18","2019-12-07","","FEMALE"
"ID0110",13,6,NA,NA,NA,NA,"1972-11-01","","2011-10-01","2012-05-01","FEMALE"
"ID0111",NA,NA,NA,NA,NA,5,"2013-10-27","2018-04-02","2019-09-24","","FEMALE"
"ID0112",23,11,23,37,22,25,"1998-11-14","2002-08-15","2019-12-07","","MALE"
"ID0113",5,9,NA,NA,NA,NA,"2001-11-01","2005-03-06","2010-12-11","2011-05-01","UNKNOWN"
"ID0114",31,19,17,32,22,16,"2003-01-01","2008-07-16","2019-12-07","","MALE"
"ID0115",26,33,26,50,17,9,"1979-11-01","1983-05-01","2018-10-12","2019-03-25","FEMALE"
"ID0116",NA,NA,NA,NA,NA,5,"2013-10-01","2018-07-17","2019-08-04","","UNKNOWN"
"ID0117",NA,NA,NA,2,8,8,"2010-11-01","2015-05-16","2019-10-09","","MALE"
"ID0118",4,14,10,28,11,15,"2006-11-01","2009-06-01","2019-11-26","","FEMALE"
"ID0119",NA,NA,27,13,26,26,"2010-01-23","2012-07-08","2019-12-02","","FEMALE"
"ID0120",32,33,30,51,28,27,"1990-10-01","1994-08-15","2019-12-04","","MALE"
"ID0121",6,8,11,15,11,9,"1997-11-01","2000-08-10","2019-10-29","","FEMALE"
"ID0122",7,16,23,22,16,14,"1978-11-01","","2019-12-02","","MALE"
"ID0123",13,8,22,14,16,8,"2002-11-01","2005-11-11","2019-07-16","","FEMALE"
"ID0124",NA,NA,NA,NA,NA,9,"2015-11-01","2018-07-02","2019-10-03","","FEMALE"
"ID0125",NA,NA,NA,NA,NA,46,"2012-11-06","2018-05-22","2019-12-07","","FEMALE"
"ID0126",20,16,43,44,25,27,"1998-10-19","2002-09-02","2019-12-02","","FEMALE"
"ID0127",NA,NA,NA,NA,NA,23,"2013-03-01","2018-06-19","2019-12-07","","MALE"
"ID0128",25,NA,NA,NA,NA,NA,"2002-12-08","2006-07-08","2009-08-07","2009-11-20","FEMALE"
"ID0129",15,18,28,37,18,10,"2000-11-01","2005-10-15","2019-12-04","","FEMALE"
"ID0130",16,12,24,24,8,NA,"1986-11-01","1990-08-27","2016-10-22","2017-04-03","FEMALE"
"ID0131",NA,NA,NA,NA,NA,7,"2012-11-01","2018-02-28","2019-12-07","","MALE"
