"ID1","ID2","T2008","T2010","T2012","T2014","T2016","T2018","relatedness_coef"
"ID0001","ID0123",NA,NA,0,0,0,0,0
"ID0001","ID0124",NA,NA,NA,NA,NA,0,0.0035
"ID0125","ID0001",NA,NA,NA,NA,NA,0,0.0191
"ID0126","ID0001",NA,NA,0,0.0344827586206897,0,0,0
"ID0127","ID0001",NA,NA,NA,NA,NA,0,0
"ID0001","ID0129",NA,NA,0,0,0,0,0.0217
"ID0130","ID0001",NA,NA,0,0,0,NA,0
"ID0001","ID0131",NA,NA,NA,NA,NA,0,0.022
"ID0003","ID0002",0,0,0,NA,NA,NA,NA
"ID0002","ID0004",0,0,0.0408163265306122,0,0,0,0
"ID0002","ID0005",0,0.0588235294117647,0.0465116279069767,0,0,0,0.0537
"ID0002","ID0006",NA,NA,NA,0.04,0.0588235294117647,0,0.0047
"ID0002","ID0007",0,0,NA,NA,NA,NA,NA
"ID0008","ID0002",0,0,NA,NA,NA,NA,NA
"ID0002","ID0009",NA,NA,NA,0,0,0,0.0039
"ID0010","ID0002",0,0,0.0701754385964912,0.0240963855421687,0,0,0.0206
"ID0011","ID0002",0,0,0,0.0277777777777778,0,0,0
"ID0012","ID0002",NA,NA,0.0645161290322581,0,0,0,0.0278
"ID0013","ID0002",0,0.0571428571428571,0,0.0512820512820513,0,0.0740740740740741,0.0452
"ID0002","ID0014",0,0.0588235294117647,0.0392156862745098,0.0615384615384615,0,0,0
"ID0002","ID0015",NA,NA,0.0434782608695652,0.0571428571428571,0,0,0
"ID0002","ID0016",0,0,0,0.0298507462686567,0,0,0.0754
"ID0002","ID0017",0,0,0,0,0,0,0
"ID0002","ID0018",0,0,NA,NA,NA,NA,NA
"ID0019","ID0002",0,0,0,0,0,0,0.0402
"ID0002","ID0020",0,0,0.0540540540540541,0,0,0,0
"ID0021","ID0002",NA,NA,NA,0,0,0,0.0159
"ID0002","ID0022",0,0.0606060606060606,0.0425531914893617,0.0851063829787234,0,0,0
"ID0002","ID0023",0.137931034482759,0.0625,0,0,0,0.0909090909090909,0.4984
"ID0024","ID0002",0,0.0714285714285714,0,0.0476190476190476,0,0,0
"ID0002","ID0025",0.121212121212121,0.133333333333333,0.0487804878048781,0,0.0540540540540541,0.0645161290322581,0.5029
"ID0026","ID0002",0,0,0,0,0,NA,0.0463
"ID0027","ID0002",0,NA,NA,NA,NA,NA,NA
"ID0002","ID0028",NA,0,0,0.0266666666666667,NA,NA,0.0586
"ID0002","ID0029",0,0,0.0857142857142857,0,0.0392156862745098,0,0.2424
"ID0002","ID0030",0,0,0,0,NA,NA,0
"ID0031","ID0002",0,0,0,0.0392156862745098,0,0,0.0706
"ID0032","ID0002",NA,NA,NA,NA,0,0,NA
"ID0033","ID0002",NA,0,0,0,0,0,0.0147
"ID0034","ID0002",NA,NA,0,0,0,0,0
"ID0035","ID0002",NA,NA,0,0,0,0,0.013
"ID0002","ID0036",0.111111111111111,0,0.0606060606060606,0,0.1,0,0
"ID0002","ID0037",NA,0,0,0.176470588235294,0.166666666666667,0.0833333333333333,0
"ID0038","ID0002",0,0,0,0,NA,NA,0
"ID0039","ID0002",0,0,0,0.0588235294117647,0.0740740740740741,0,1e-04
"ID0040","ID0002",0,0,0,0,NA,NA,0
"ID0002","ID0041",0,NA,NA,NA,NA,NA,NA
"ID0042","ID0002",0,0.0571428571428571,0.0327868852459016,0.0298507462686567,0.0512820512820513,0,0.1591
"ID0043","ID0002",0,0.0689655172413793,0,0.0869565217391304,0,NA,0
"ID0044","ID0002",0,0,0,0.021978021978022,0,0,0.2541
